Name,Sex,Event,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Glossbrenner,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetState,MeetName
Leslie Roberts,F,D,Raw,29.0,24-34,Open,55.4,56,,,,,,,,,,,,,,,132.5,132.5,1,157.22,157.22,139.1,545.99,,,USPA,2017-06-10,USA,HI,Hawaii Fit Expo
Nicolas Urtado,M,SBD,Raw,17.0,16-17,MTR2AAPF,78.7,82.5,110.0,120.0,145.0,,145.0,105.0,-122.5,-122.5,,105.0,165.0,182.5,192.5,,192.5,442.5,1,305.27,329.69,294.99,434.31,,,APF,2015-03-27,USA,MI,Michigan State Meet
Niklas Björk,M,SBD,Single-ply,,,Open,82.5,82.5,,,,,240.0,,,,,152.5,,,,,260.0,652.5,2,437.11,437.11,421.99,548.65,Yes,Sweden,NordicPF,1998-09-12,Finland,,Men's Nordic Powerlifting Championships
Kobe Amador,M,SBD,Single-ply,,,Boys,81.19,82.1,,,,,142.88,,,,,97.52,,,,,147.42,387.82,8,262.34,262.34,253.35,353.35,Yes,,THSPA,2015-01-31,USA,TX,Copperas Cove High School
Aubry Williams,F,SBD,Single-ply,,,Girls,81.6,82.3,,,,,149.69,,,,,65.77,,,,,129.27,344.73,6,312.05,312.05,273.34,442.65,Yes,,THSWPA,2016-03-05,USA,TX,Region 5 Division 3
Andreas Jemtland,M,B,Raw,,,Open,82.89,83,,,,,,135.0,142.5,-150.0,,142.5,,,,,,142.5,1,95.19,95.19,91.89,580.11,Yes,,NSF,2017-09-30,Norway,,RM Benkpress utstyrsfritt
E. Queddeng,M,SBD,Single-ply,,,USAPL,90.0,90,,,,,217.72,,,,,136.08,,,,,226.8,580.6,12,370.65,370.65,357.19,470.97,Yes,,USAPL,1998-03-21,USA,TX,Collegiate Nationals
Bode Dela Vega,M,SBD,Single-ply,,,Boys,85.73,89.8,,,,,161.03,,,,,113.4,,,,,204.12,478.54,2,313.53,313.53,302.45,409.12,Yes,,THSPA,2014-01-24,USA,TX,Western Hills Invitational
Nicole Dunlap,F,SBD,Raw,,,Open,74.84,75,,,,,102.5,,,,,62.5,,,,,167.5,332.5,1,316.51,316.51,278.44,532.97,,,SPF,2016-12-03,USA,TN,Gritmas Classic
Lou Forrester,M,SBD,Wraps,,,Elite,74.12,75,,,,,215.46,,,,,149.69,,,,,238.14,603.28,2,433.45,433.45,419.39,650.42,,,XPC,2019-03-01,USA,OH,Finals
Will O'Steen,M,SBD,Single-ply,,,Boys,89.81,89.8,,,,,154.22,,,,,90.72,,,,,156.49,401.43,5,256.55,256.55,247.24,343.7,Yes,,THSPA,2013-01-29,USA,TX,Chisholm Trail High School Invitational
Jessica Best,F,SBD,Raw,,,Open,59.0,63,,,,,95.0,,,,,62.5,,,,,137.5,295.0,1,333.21,333.21,294.48,523.64,Yes,,CPU,2013-06-08,Canada,NL,Newfoundland Provincials
Bill Danenhauer,M,B,Raw,,55-59,bpm2,92.99,100,,,,,,,,,,72.5,,,,,,72.5,2,45.55,55.79,43.86,272.94,Yes,,NASA,2016-04-16,USA,IA,Iowa state
