Lifter,Date,Fed,Location,Sex,Age,Equip,Class,Weight,Squat,Bench,Deadlift,Total,Dots
Jaymi Morris,ProRaw,2024-03-16,Australia-VIC,F,30,Wraps,198,188.9,606.2,347.2,606.2,1559.7,644.91
Eva Dunbar,RPS,2018-03-10,USA-NC,F,36,Wraps,148,147.6,536.8,315.2,518.1,1370.1,644.68
Brittany Bowles,WRPF,2023-10-28,USA-VA,F,34,Wraps,132,131.6,501.5,292.1,479.5,1273.1,642.22
Jennessa Labbate,WRPF,2021-04-24,USA-CA,F,26,Wraps,148,146.1,501.5,292.1,563.2,1356.9,642.10
Keeta Crisp,WRPF-AUS,2022-09-11,Australia-NSW,F,28,Wraps,165,165.1,578.7,308.6,562.1,1449.5,640.84
Jeanine Whittaker,SPF,2017-04-22,USA-OH,F,44,Wraps,181,180.4,610,310,580,1500,633.99
Amanda Smith #5,USPC,2024-11-23,USA-NC,F,24,Raw,165,161.8,535.7,315.2,562.1,1413.1,631.54
Zahir Khudayarov,FPO,2015-09-26,Finland,M,32,Wraps,275,275.5,1041.6,573.2,837.7,2452.6,630.52
Blake Lehew,WRPF,2022-07-29,USA-VA,M,27,Wraps,181,181.6,727.5,474,848.7,2050.3,630.41
Agata Sitko,FFForce,2024-10-19,France,F,21~,Raw,,157.8,451.9,352.7,577.6,1382.3,626.25
Crystal Tate,XPC,2017-03-03,USA-OH,F,29,Wraps,198,196.4,640,300,600,1540,625.57
